node,node_members,parameter,deviation,causes,consequences,safeguards,recommendation,action_party,status
loop 27-4807,"27-PI4807, 27-PT4807",Pressure,Low pressure,upstream supply loss (generic); leak / rupture (generic),loss of process function / possible gas breakthrough (generic),(none found in extraction — verify),,,proposed
loop 27-4811,"27-FV4811, 27-FY4811A, 27-FY4811B, 27-FY4811C, 27-HS4811",Flow,No flow,27-FV4811: sticks; 27-FV4811: wrong position; blocked line / closed valve (generic); pump/compressor stop (generic),"loss of process function (generic); functions affected: 27-FV4811, 27-FY4811A, 27-FY4811B, 27-FY4811C, 27-HS4811; safety functions in node: 27-HS4811",(none found in extraction — verify),,,proposed
loop 27-4811,"27-FV4811, 27-FY4811A, 27-FY4811B, 27-FY4811C, 27-HS4811",Flow,Low flow,27-FV4811: sticks; 27-FV4811: wrong position; partial blockage / fouling (generic),"reduced capacity (generic); functions affected: 27-FV4811, 27-FY4811A, 27-FY4811B, 27-FY4811C, 27-HS4811; safety functions in node: 27-HS4811",(none found in extraction — verify),,,proposed
loop 27-4811,"27-FV4811, 27-FY4811A, 27-FY4811B, 27-FY4811C, 27-HS4811",Flow,High flow,27-FV4811: sticks; 27-FV4811: wrong position; control valve fully open (generic),"possible downstream overload (generic); functions affected: 27-FV4811, 27-FY4811A, 27-FY4811B, 27-FY4811C, 27-HS4811; safety functions in node: 27-HS4811",(none found in extraction — verify),,,proposed
loop 27-4811,"27-FV4811, 27-FY4811A, 27-FY4811B, 27-FY4811C, 27-HS4811",Flow,Reverse flow,27-FV4811: sticks; 27-FV4811: wrong position; check-valve failure / pressure reversal (generic),"possible contamination / backflow to upstream (generic); functions affected: 27-FV4811, 27-FY4811A, 27-FY4811B, 27-FY4811C, 27-HS4811; safety functions in node: 27-HS4811",(none found in extraction — verify),,,proposed
loop 27-4812,"27-PDI4812, 27-PDT4812",Pressure,High pressure,blocked outlet (generic); upstream pressure source (generic),possible overpressure of section (generic),(none found in extraction — verify),,,proposed
loop 27-4812,"27-PDI4812, 27-PDT4812",Pressure,Low pressure,upstream supply loss (generic); leak / rupture (generic),loss of process function / possible gas breakthrough (generic),(none found in extraction — verify),,,proposed
loop 27-4813,"27-HS4813, 27-XV4813, 27-XY4813, 27-ZL4813, 27-ZS4813",Flow,No flow,blocked line / closed valve (generic); pump/compressor stop (generic),"loss of process function (generic); functions affected: 27-HS4813, 27-XV4813, 27-XY4813; safety functions in node: 27-HS4813, 27-XV4813, 27-ZL4813, 27-ZS4813",27-XV4813,,,proposed
loop 27-4813,"27-HS4813, 27-XV4813, 27-XY4813, 27-ZL4813, 27-ZS4813",Flow,Low flow,partial blockage / fouling (generic),"reduced capacity (generic); functions affected: 27-HS4813, 27-XV4813, 27-XY4813; safety functions in node: 27-HS4813, 27-XV4813, 27-ZL4813, 27-ZS4813",27-XV4813,,,proposed
loop 27-4813,"27-HS4813, 27-XV4813, 27-XY4813, 27-ZL4813, 27-ZS4813",Flow,High flow,control valve fully open (generic),"possible downstream overload (generic); functions affected: 27-HS4813, 27-XV4813, 27-XY4813; safety functions in node: 27-HS4813, 27-XV4813, 27-ZL4813, 27-ZS4813",27-XV4813,,,proposed
loop 27-4813,"27-HS4813, 27-XV4813, 27-XY4813, 27-ZL4813, 27-ZS4813",Flow,Reverse flow,check-valve failure / pressure reversal (generic),"possible contamination / backflow to upstream (generic); functions affected: 27-HS4813, 27-XV4813, 27-XY4813; safety functions in node: 27-HS4813, 27-XV4813, 27-ZL4813, 27-ZS4813",27-XV4813,,,proposed
loop 27-4814,"27-HS4814, 27-XV4814, 27-XY4814, 27-ZL4814, 27-ZS4814",Flow,No flow,blocked line / closed valve (generic); pump/compressor stop (generic),"loss of process function (generic); functions affected: 27-HS4814, 27-XV4814, 27-XY4814; safety functions in node: 27-HS4814, 27-XV4814, 27-ZL4814, 27-ZS4814",27-XV4814,,,proposed
loop 27-4814,"27-HS4814, 27-XV4814, 27-XY4814, 27-ZL4814, 27-ZS4814",Flow,Low flow,partial blockage / fouling (generic),"reduced capacity (generic); functions affected: 27-HS4814, 27-XV4814, 27-XY4814; safety functions in node: 27-HS4814, 27-XV4814, 27-ZL4814, 27-ZS4814",27-XV4814,,,proposed
loop 27-4814,"27-HS4814, 27-XV4814, 27-XY4814, 27-ZL4814, 27-ZS4814",Flow,High flow,control valve fully open (generic),"possible downstream overload (generic); functions affected: 27-HS4814, 27-XV4814, 27-XY4814; safety functions in node: 27-HS4814, 27-XV4814, 27-ZL4814, 27-ZS4814",27-XV4814,,,proposed
loop 27-4814,"27-HS4814, 27-XV4814, 27-XY4814, 27-ZL4814, 27-ZS4814",Flow,Reverse flow,check-valve failure / pressure reversal (generic),"possible contamination / backflow to upstream (generic); functions affected: 27-HS4814, 27-XV4814, 27-XY4814; safety functions in node: 27-HS4814, 27-XV4814, 27-ZL4814, 27-ZS4814",27-XV4814,,,proposed
loop 27-4823,"27-PI4823, 27-PT4823",Pressure,High pressure,blocked outlet (generic); upstream pressure source (generic),possible overpressure of section (generic),(none found in extraction — verify),,,proposed
loop 27-4823,"27-PI4823, 27-PT4823",Pressure,Low pressure,upstream supply loss (generic); leak / rupture (generic),loss of process function / possible gas breakthrough (generic),(none found in extraction — verify),,,proposed
loop 27-4825,"27-PIC4825A, 27-PIC4825B, 27-PIC4825C, 27-PT4825",Pressure,High pressure,27-PIC4825A: wrong output; 27-PIC4825A: tuning drift; 27-PIC4825B: wrong output; 27-PIC4825B: tuning drift; 27-PIC4825C: wrong output; 27-PIC4825C: tuning drift; blocked outlet (generic); upstream pressure source (generic),"possible overpressure of section (generic); functions affected: 27-PIC4825A, 27-PIC4825B, 27-PIC4825C",(none found in extraction — verify),,,proposed
loop 27-4825,"27-PIC4825A, 27-PIC4825B, 27-PIC4825C, 27-PT4825",Pressure,Low pressure,27-PIC4825A: wrong output; 27-PIC4825A: tuning drift; 27-PIC4825B: wrong output; 27-PIC4825B: tuning drift; 27-PIC4825C: wrong output; 27-PIC4825C: tuning drift; upstream supply loss (generic); leak / rupture (generic),"loss of process function / possible gas breakthrough (generic); functions affected: 27-PIC4825A, 27-PIC4825B, 27-PIC4825C",(none found in extraction — verify),,,proposed
loop 27-4826,"27-HS4826, 27-XV4826, 27-XY4826, 27-ZL4826, 27-ZS4826",Flow,No flow,blocked line / closed valve (generic); pump/compressor stop (generic),"loss of process function (generic); functions affected: 27-HS4826, 27-XV4826, 27-XY4826; safety functions in node: 27-HS4826, 27-XV4826, 27-ZL4826, 27-ZS4826",27-XV4826,,,proposed
loop 27-4826,"27-HS4826, 27-XV4826, 27-XY4826, 27-ZL4826, 27-ZS4826",Flow,Low flow,partial blockage / fouling (generic),"reduced capacity (generic); functions affected: 27-HS4826, 27-XV4826, 27-XY4826; safety functions in node: 27-HS4826, 27-XV4826, 27-ZL4826, 27-ZS4826",27-XV4826,,,proposed
loop 27-4826,"27-HS4826, 27-XV4826, 27-XY4826, 27-ZL4826, 27-ZS4826",Flow,High flow,control valve fully open (generic),"possible downstream overload (generic); functions affected: 27-HS4826, 27-XV4826, 27-XY4826; safety functions in node: 27-HS4826, 27-XV4826, 27-ZL4826, 27-ZS4826",27-XV4826,,,proposed
loop 27-4826,"27-HS4826, 27-XV4826, 27-XY4826, 27-ZL4826, 27-ZS4826",Flow,Reverse flow,check-valve failure / pressure reversal (generic),"possible contamination / backflow to upstream (generic); functions affected: 27-HS4826, 27-XV4826, 27-XY4826; safety functions in node: 27-HS4826, 27-XV4826, 27-ZL4826, 27-ZS4826",27-XV4826,,,proposed
loop 27-4828,"27-HS4828, 27-XV4828, 27-XY4828, 27-ZL4828, 27-ZS4828",Flow,No flow,blocked line / closed valve (generic); pump/compressor stop (generic),"loss of process function (generic); functions affected: 27-HS4828, 27-XV4828, 27-XY4828; safety functions in node: 27-HS4828, 27-XV4828, 27-ZL4828, 27-ZS4828",27-XV4828,,,proposed
loop 27-4828,"27-HS4828, 27-XV4828, 27-XY4828, 27-ZL4828, 27-ZS4828",Flow,Low flow,partial blockage / fouling (generic),"reduced capacity (generic); functions affected: 27-HS4828, 27-XV4828, 27-XY4828; safety functions in node: 27-HS4828, 27-XV4828, 27-ZL4828, 27-ZS4828",27-XV4828,,,proposed
loop 27-4828,"27-HS4828, 27-XV4828, 27-XY4828, 27-ZL4828, 27-ZS4828",Flow,High flow,control valve fully open (generic),"possible downstream overload (generic); functions affected: 27-HS4828, 27-XV4828, 27-XY4828; safety functions in node: 27-HS4828, 27-XV4828, 27-ZL4828, 27-ZS4828",27-XV4828,,,proposed
loop 27-4828,"27-HS4828, 27-XV4828, 27-XY4828, 27-ZL4828, 27-ZS4828",Flow,Reverse flow,check-valve failure / pressure reversal (generic),"possible contamination / backflow to upstream (generic); functions affected: 27-HS4828, 27-XV4828, 27-XY4828; safety functions in node: 27-HS4828, 27-XV4828, 27-ZL4828, 27-ZS4828",27-XV4828,,,proposed
